10-09 10:26:19.658|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSW2h0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTE5MjQvY29udGVudC9TRCBHdW5kYW0gRyBHZW5lcmF0aW9uIEFkdmFuY2UgKEphcGFuKS56aXAaKlNEIEd1bmRhbSBHIEdlbmVyYXRpb24gQWR2YW5jZSAoSmFwYW4pLnppcA== from RomM plugin
10-09 10:26:19.672|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co3h5k.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\7ae442e8-66ff-4941-b1ce-d0d0ed678022.jpg.
10-09 10:26:19.796|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\7ae442e8-66ff-4941-b1ce-d0d0ed678022.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\8ba49887-76d2-4813-97a4-f8d5120f7ed5\2caa94be-4cc3-4532-91b2-b32e00bbdff8.jpg
10-09 10:26:19.796|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSVmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI1MDYvY29udGVudC9TZWEgVHJhZGVyIC0gUmlzZSBvZiBUYWlwYW4gKFVTQSkuemlwGiVTZWEgVHJhZGVyIC0gUmlzZSBvZiBUYWlwYW4gKFVTQSkuemlw from RomM plugin
10-09 10:26:19.796|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co898i.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\99da72a0-e37f-4cae-9fc3-31730c93ac3c.jpg.
10-09 10:26:20.011|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\99da72a0-e37f-4cae-9fc3-31730c93ac3c.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\5a9ee302-5701-49a9-81f8-2f4ada10ab0a\af26a513-a2c9-4ee4-9c56-6b5926964166.jpg
10-09 10:26:20.011|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSVmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI4MjYvY29udGVudC9TaGFtdSdzIERlZXAgU2VhIEFkdmVudHVyZXMgKFVTQSkuemlwGiVTaGFtdSdzIERlZXAgU2VhIEFkdmVudHVyZXMgKFVTQSkuemlw from RomM plugin
10-09 10:26:20.011|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co6rej.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\c5376c0a-574d-4f4b-af0b-c8f267867fe1.jpg.
10-09 10:26:20.204|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\c5376c0a-574d-4f4b-af0b-c8f267867fe1.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\ae07753c-3ec2-4999-ad93-08ef8ba1f8a0\11751617-dcb7-4837-810a-6f019cf97b75.jpg
10-09 10:26:20.213|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSZWh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTI4NzYvY29udGVudC9TZWNyZXQgQWdlbnQgQmFyYmllIC0gUm95YWwgSmV3ZWxzIE1pc3Npb24gKFVTQSkuemlwGjRTZWNyZXQgQWdlbnQgQmFyYmllIC0gUm95YWwgSmV3ZWxzIE1pc3Npb24gKFVTQSkuemlw from RomM plugin
10-09 10:26:20.213|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co6t4s.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\b226c921-3943-46b0-86ed-3a25ce4b30e3.jpg.
10-09 10:26:20.774|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\b226c921-3943-46b0-86ed-3a25ce4b30e3.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\524423bb-7623-4ee4-ab91-f5bb5c5a77ea\c891ac60-a195-4610-a0ba-24ee973dbc51.jpg
10-09 10:26:20.774|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSTmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTMxOTYvY29udGVudC9TRUdBIEFyY2FkZSBHYWxsZXJ5IChVU0EpLnppcBodU0VHQSBBcmNhZGUgR2FsbGVyeSAoVVNBKS56aXA= from RomM plugin
10-09 10:26:20.774|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co7jw8.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\703193db-e3ba-4e83-b66a-a3047c6c329f.jpg.
10-09 10:26:20.901|DEBUG|FileSystem:Copying file C:\Users\Alex\AppData\Local\Temp\Playnite\703193db-e3ba-4e83-b66a-a3047c6c329f.jpg to C:\Users\Alex\AppData\Roaming\Playnite\library\files\5fe9c3d7-a334-4e9d-99a5-de64195bc1a8\52450c30-c25d-4c98-ba65-7a7c504e6068.jpg
10-09 10:26:20.901|INFO |GameDatabase:Adding new game !0ChIJb6uUf2q12UsRkTt1dxMvKhkSUmh0dHA6Ly8xOTIuMTY4LjIuMTE3OjgxMjMvYXBpL3JvbXMvMTIzOTAvY29udGVudC9TRUdBIFJhbGx5IENoYW1waW9uc2hpcCAoVVNBKS56aXAaIVNFR0EgUmFsbHkgQ2hhbXBpb25zaGlwIChVU0EpLnppcA== from RomM plugin
10-09 10:26:20.901|DEBUG|Downloader:Downloading data from https://images.igdb.com/igdb/image/upload/t_1080p/co8hvk.jpg to C:\Users\Alex\AppData\Local\Temp\Playnite\3c64c106-e46c-44f2-8c17-11c6258d306a.jpg.
